Threads,Size,Time [s]
1,1,0.000000
1,2,0.000001
1,4,0.000632
1,8,0.000533
1,16,0.001392
1,32,0.008610
1,64,0.025667
1,128,0.056131
1,256,0.279622
1,512,1.319252
1,1024,4.179305
1,2048,17.208712
2,1,0.000000
2,2,0.000000
2,4,0.000134
2,8,0.000246
2,16,0.001201
2,32,0.002476
2,64,0.016734
2,128,0.078271
2,256,0.285401
2,512,1.311703
2,1024,5.362694
2,2048,20.694831
4,1,0.000000
4,2,0.000000
4,4,0.000114
4,8,0.000244
4,16,0.000626
4,32,0.003951
4,64,0.017714
4,128,0.074107
4,256,0.274792
4,512,1.201756
4,1024,5.042001
4,2048,20.773922
8,1,0.000000
8,2,0.000000
8,4,0.000240
8,8,0.000363
8,16,0.001091
8,32,0.004170
8,64,0.013888
8,128,0.071183
8,256,0.224024
8,512,1.343456
8,1024,5.429524
8,2048,19.618137
16,1,0.000001
16,2,0.000000
16,4,0.000118
16,8,0.000227
16,16,0.000885
16,32,0.007649
16,64,0.024219
16,128,0.115646
16,256,0.343192
16,512,1.388880
16,1024,5.818018
16,2048,22.361900
32,1,0.000000
32,2,0.000000
32,4,0.000087
32,8,0.000333
32,16,0.001109
32,32,0.004341
32,64,0.071205
32,128,0.324720
32,256,1.282030
32,512,5.390616
32,1024,23.422460
32,2048,94.327353
64,1,0.000000
64,2,0.000000
64,4,0.000111
64,8,0.000312
64,16,0.001123
64,32,0.006266
64,64,0.076227
64,128,0.633731
64,256,2.697883
64,512,11.929390
64,1024,51.755576
64,2048,211.119684
