Threads,Size,Time [s]
1,1,0.000177
1,2,0.000168
1,4,0.000151
1,8,0.000152
1,16,0.000146
1,32,0.000143
1,64,0.000153
1,128,0.000143
1,256,0.000131
1,512,0.000184
1,1024,0.000357
1,2048,0.000688
1,4096,0.001592
1,8192,0.003518
1,16384,0.006316
1,32768,0.011662
1,65536,0.018675
1,131072,0.045969
1,262144,0.086929
1,524288,0.179231
1,1048576,0.362349
1,2097152,0.630790
1,4194304,1.320293
1,8388608,2.728549
1,16777216,6.066717
1,33554432,11.833832
1,67108864,25.546583
2,1,0.000217
2,2,0.000497
2,4,0.000355
2,8,0.000308
2,16,0.000318
2,32,0.000310
2,64,0.000356
2,128,0.000317
2,256,0.000285
2,512,0.000360
2,1024,0.000561
2,2048,0.000872
2,4096,0.001382
2,8192,0.002112
2,16384,0.005689
2,32768,0.013833
2,65536,0.025393
2,131072,0.045571
2,262144,0.090043
2,524288,0.189005
2,1048576,0.353292
2,2097152,0.666916
2,4194304,1.649104
2,8388608,2.835737
2,16777216,5.684456
2,33554432,12.072666
2,67108864,25.498314
4,1,0.000206
4,2,0.000388
4,4,0.000752
4,8,0.000656
4,16,0.000422
4,32,0.000625
4,64,0.000493
4,128,0.000420
4,256,0.000513
4,512,0.000534
4,1024,0.000583
4,2048,0.001146
4,4096,0.001463
4,8192,0.003490
4,16384,0.006818
4,32768,0.013336
4,65536,0.021786
4,131072,0.037998
4,262144,0.069982
4,524288,0.136620
4,1048576,0.337408
4,2097152,0.419245
4,4194304,0.875862
4,8388608,2.477727
4,16777216,5.543733
4,33554432,7.785413
4,67108864,20.792869
8,1,0.000184
8,2,0.000313
8,4,0.000557
8,8,0.000858
8,16,0.001008
8,32,0.000430
8,64,0.000692
8,128,0.000760
8,256,0.000530
8,512,0.000741
8,1024,0.000772
8,2048,0.001129
8,4096,0.002233
8,8192,0.002583
8,16384,0.006622
8,32768,0.010822
8,65536,0.021822
8,131072,0.033181
8,262144,0.073185
8,524288,0.150450
8,1048576,0.362418
8,2097152,0.636353
8,4194304,1.072050
8,8388608,2.327906
8,16777216,4.647992
8,33554432,7.286912
8,67108864,24.975754
16,1,0.000282
16,2,0.000339
16,4,0.000512
16,8,0.000953
16,16,0.001143
16,32,0.001576
16,64,0.002059
16,128,0.000918
16,256,0.001318
16,512,0.001531
16,1024,0.001258
16,2048,0.001154
16,4096,0.001938
16,8192,0.002997
16,16384,0.006417
16,32768,0.011965
16,65536,0.021863
16,131072,0.039742
16,262144,0.089517
16,524288,0.165494
16,1048576,0.394923
16,2097152,0.707566
16,4194304,1.136924
16,8388608,2.406857
16,16777216,5.393666
16,33554432,13.071912
16,67108864,25.723105
32,1,0.000221
32,2,0.000328
32,4,0.000493
32,8,0.000894
32,16,0.001149
32,32,0.001816
32,64,0.002255
32,128,0.002357
32,256,0.002433
32,512,0.001986
32,1024,0.002039
32,2048,0.002455
32,4096,0.002259
32,8192,0.003171
32,16384,0.006049
32,32768,0.011478
32,65536,0.020933
32,131072,0.039425
32,262144,0.080538
32,524288,0.161371
32,1048576,0.249229
32,2097152,0.492052
32,4194304,0.962339
32,8388608,2.748770
32,16777216,5.277162
32,33554432,11.702079
32,67108864,20.513570
64,1,0.000162
64,2,0.000243
64,4,0.000494
